titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades
"Fiorino, Apartamentos en Venta en San fernando nuevo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/fiorino-apartamentos-en-venta-en-san-fernando-nuevo-cali/5320631,587268000,3,2,85.16,cali
"CENTRIKO CONJUNTO RESIDENCIAL, Apartamento en Venta en Fundadores, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/centriko-conjunto-residencial-apartamentos-en-venta-en-fundadores-armenia/15017538,438646535,2,2,63.11,armenia
"TIERRALINDA DEL LAGO, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-lago-apartamentos-en-venta-en-bochalema-cali/15017065,208650000,2,2,64.32,cali
"LOFT 56, Apartaestudios en Venta en Galerias, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/loft-56-apartaestudios-en-venta-en-galerias-bogota/10071791,278000000,1,1,30.26,bogotá
"BRASSIA CAMPESTRE, Apartamentos en Venta en El eden, La tebaida",https://www.fincaraiz.com.co/proyectos-vivienda/brassia-campestre-apartamentos-en-venta-en-el-eden-la-tebaida/10341233,777000000,3,3,190.34,la tebaida
"LOCALES COMERCIALES CONSTRUCTORA MELENDEZ, Local en Venta en Cali",https://www.fincaraiz.com.co/proyectos-vivienda/locales-comerciales-constructora-melendez-locales-en-venta-en-cali/15016858,323035000,0,0,28.09,cali
"CLARO ALTO, Casa en Venta en Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/claro-alto-casas-en-venta-en-jamundi/15017327,214602933,2,1,63.33,jamundí
"LOTO, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/loto-apartamentos-en-venta-en-bochalema-cali/10255638,639115317,3,2,106.52,cali
"VIENA, Apartamentos en Venta en Marsella, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/viena-apartamentos-en-venta-en-marsella-bogota/15017469,447152534,2,2,59,bogotá
"Ciudad La Salle Burdeos, Apartamento en Venta en Alameda, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/ciudad-la-salle-burdeos-apartamentos-en-venta-en-alameda-bogota/7203484,618365000,2,2,60.02,bogotá
"TIERRALINDA DEL RÍO, Apartamentos en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-rio-apartamentos-en-venta-en-villa-fatima-cali/15017066,221169000,2,1,62.36,cali
"Lila, Apartamentos en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/lila-apartamentos-en-venta-en-valle-del-lili-cali/15017487,249535991,2,1,49.57,cali
"SIERRA VERDE, Apartamento en Venta en Avenida Centenario, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/sierra-verde-apartamentos-en-venta-en-avenida-centenario-armenia/15017320,476000000,1,2,60.56,armenia
"EL BOSQUE UNIDAD RESIDENCIAL, Apartamentos en Venta en Bello",https://www.fincaraiz.com.co/proyectos-vivienda/el-bosque-unidad-residencial-apartamentos-en-venta-en-bello/10288991,190000000,2,1,55.16,bello
"LAGO FORET, Apartamento en Venta en Buenavista, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/lago-foret-apartamentos-en-venta-en-buenavista-barranquilla/10067978,844272000,2,3,83,barranquilla
"BOSQUE MADERO, Apartamento en Venta en Cd. simon bolivar et. i, Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/bosque-madero-apartamentos-en-venta-en-ibague/15017048,470292000,3,2,90.99,ibagué
"SABANA DEL OCCIDENTE, Apartamento en Venta en Siete trojes, Funza",https://www.fincaraiz.com.co/proyectos-vivienda/sabana-del-occidente-apartamentos-en-venta-en-siete-trojes-funza/10126290,232000000,3,2,65,funza
"ECO HACIENDA SANTA CRUZ, Apartamentos en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/eco-hacienda-santa-cruz-apartamentos-en-venta-en-ibague/15017300,192172500,2,2,56.67,ibagué
"Country Woods, Apartamentos en Venta en Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/country-woods-apartamentos-en-venta-en-floridablanca/7324608,415968000,2,2,65.68,floridablanca
"TORRES DE SOHÁ, Apartamento en Venta en Zona industrial santa ana, Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/torres-de-soha-apartamentos-en-venta-en-zona-industrial-santa-ana-soacha/10093200,170820000,2,2,48.07,soacha
"RIVIERA VERDE ETAPA 2, Casa en Venta en Cerritos, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/riviera-verde-etapa-2-casas-en-venta-en-galicia-pereira/10122326,507400000,3,3,83.81,pereira
"MONGUÍ, Apartamento en Venta en Guabinas, Yumbo",https://www.fincaraiz.com.co/proyectos-vivienda/mongui-apartamentos-en-venta-en-guabinas-yumbo/15017309,193837000,1,1,47.5,yumbo
"Teca, Casa en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/teca-casas-en-venta-en-valle-del-lili-cali/15017389,823817405,3,4,120.94,cali
"826 BOREAL, Apartamento en Venta en Industrial, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/826-boreal-apartamentos-en-venta-en-industrial-cali/15016957,251441000,1,1,55,cali
"ZUÁ CORAL – ZUÁ CIUDADELA RESIDENCIAL, Apartamento en Venta en La granja, Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/zua-coral-–-zua-ciudadela-residencial-apartamentos-en-venta-en-san-rafael-zipaquira/10687679,195800000,2,2,49.7,zipaquirá
"SOLTERRA, Apartamento en Venta en Sector centro, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/solterra-apartamentos-en-venta-en-armenia/7430082,224582392,1,1,48.09,armenia
"PEÑON DE ALICANTE, Apartamento en Venta en Nueva Castilla, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/peñon-de-alicante-apartamentos-en-venta-en-nueva-castilla-bogota/10079928,409140000,3,2,63.82,bogotá
"OLIVO, Apartamento en Venta en Ciudad Country, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/olivo-apartamentos-en-venta-en-ciudad-country-jamundi/7371581,261317628,2,2,66.21,jamundí
"SANTA ELENA LUXURY HOMES, Casa en Venta en La pizarra, Circasia",https://www.fincaraiz.com.co/proyectos-vivienda/santa-elena-luxury-homes-casas-en-venta-en-armenia/15016781,360000000,3,3,84.54,circasia
"SOUL, Apartamento en Venta en La inmaculada, Envigado",https://www.fincaraiz.com.co/proyectos-vivienda/soul-apartamentos-en-venta-en-envigado/7923280,700626600,2,2,75.58,envigado
"NÓMADA 117, Apartaestudios en Venta en Pance, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/nomada-117-apartaestudios-en-venta-en-pance-cali/10641440,443050365,1,1,38.84,cali
"PUNTO 14, Local en Venta en Centro, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/punto-14-locales-en-venta-en-centro-cali/15017368,174000000,0,0,7,cali
