titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades
Casa en Venta en La calera,https://www.fincaraiz.com.co/casa-en-venta-en-la-calera/192538661,2982000000,4,6,426,la calera
"Apartamento en Venta en Barrios unidos, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-barrios-unidos-bogota/192410366,710000000,3,2,90,bogotá
"Bodega en  Venta en Montevideo, Bogotá",https://www.fincaraiz.com.co/bodega-en-venta-en-montevideo-bogota/191995580,11300000000,0,4,2930,bogotá
"Apartamento en  Venta en Cedritos, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/192050382,440000000,3,2,84,bogotá
"Apartamento en Venta en El contador, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-contador-bogota/192565062,520000000,2,2,74,bogotá
"Apartamento en Venta en Pinar de Suba, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-pinar-de-suba-bogota/192311365,200000000,3,1,43.25,bogotá
"Apartamento en  Venta en El Batán, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-batan-bogota/192143046,540000000,3,3,83,bogotá
"Apartamento en Venta en Las antillas, Envigado",https://www.fincaraiz.com.co/apartamento-en-venta-en-las-antillas-envigado/192446628,570000000,3,2,87,envigado
"Apartamento en  Venta en Modelia Occidental, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-modelia-occidental-bogota/191782595,499000000,3,2,106,bogotá
"Apartamento en venta en Villas del mediterraneo, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-villas-del-mediterraneo-bogota/5755363,290000000,3,2,64,bogotá
"Apartamento en  Venta en Cn. club pinares, Piedecuesta",https://www.fincaraiz.com.co/apartamento-en-venta-en-cn-club-pinares-piedecuesta/191975129,350000000,3,2,92,piedecuesta
"Apartamento en Venta en Ciudad techo ii, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-ciudad-techo-ii-bogota/192262607,357000000,3,2,65,bogotá
"Apartamento en Venta en Valladolid, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-valladolid-bogota/192462541,246000000,3,2,54,bogotá
Casa Campestre en Venta en La estrella,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-la-estrella/192569986,1300000000,4,4,180,la estrella
"Casa en venta en Belmira, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-belmira-bogota/11112058,870000000,4,3,195,bogotá
Casa en Venta en Chía,https://www.fincaraiz.com.co/casa-en-venta-en-chia/192358364,700000000,3,4,114,chía
"Apartaestudio en Venta en Quinta camacho, Bogotá",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-quinta-camacho-bogota/192284364,200000000,1,1,21,bogotá
"Apartaestudio en  Venta en Zona chapinero, Bogotá",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-zona-chapinero-bogota/191875456,205000000,1,1,20,bogotá
"Oficina en Venta en Chico norte, Bogotá",https://www.fincaraiz.com.co/oficina-en-venta-en-chico-norte-bogota/192296493,7100000000,0,2,837.25,bogotá
Apartaestudio en Venta en Tunja,https://www.fincaraiz.com.co/apartaestudio-en-venta-en-tunja/192444233,235000000,1,1,44,tunja
"Casa en  Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/casa-en-venta-en-el-poblado-medellin/191393179,1450000000,3,4,284,medellín
"Casa en  Venta en Conjunto Cerrado Zapan, Dosquebradas",https://www.fincaraiz.com.co/casa-en-venta-en-conjunto-cerrado-zapan-dosquebradas/191908176,630000000,3,3,139,dosquebradas
Casa Campestre en  Venta en La calera,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-la-calera/192114878,2550000000,5,6,333.26,la calera
"Lote en Venta en Martinez martelo, Cartagena",https://www.fincaraiz.com.co/lote-en-venta-en-martinez-martelo-cartagena/192569678,830000000,4,3,340,cartagena
"Casa en  Venta en Engativá, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-engativa-bogota/191758766,365000000,3,2,120,bogotá
"Apartamento en Venta en El nogal, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-nogal-bogota/192554031,360000000,1,1,46,bogotá
"Apartamento en  Venta en Cedritos, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/191974766,480000000,3,2,64,bogotá
"Apartamento en Venta en Cerros de Suba, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-cerros-de-suba-bogota/192538669,2540000000,3,4,275,bogotá
"Casa en  Venta en Fonquetá, Chía",https://www.fincaraiz.com.co/casa-en-venta-en-fonqueta-chia/191890658,850000000,3,4,187,chía
"Casa en  Venta en La balsa, Chía",https://www.fincaraiz.com.co/casa-en-venta-en-la-balsa-chia/191991336,730000000,3,3,112,chía
"Apartaestudio en  Venta en Cable, Manizales",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-cable-manizales/191859898,210000000,0,1,49,manizales
"Casa en venta en Las lomas, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-las-lomas-bogota/10403404,340000000,5,3,128,bogotá
"Casa en  Venta en Las delicias, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-las-delicias-bogota/191247525,690000000,11,6,340,bogotá
"Casa en venta en El gran limonar cataya, Cali",https://www.fincaraiz.com.co/casa-en-venta-en-el-gran-limonar-cataya-cali/10854377,750000000,11,10,350,cali
"Apartaestudio en  Venta en Cedritos, Bogotá",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-cedritos-bogota/192244272,320000000000,1,1,39,bogotá
"Apartamento en Venta en Teusaquillo, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-teusaquillo-bogota/192328873,510000000,4,2,142,bogotá
"Casa en  Venta en Kennedy Central, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-kennedy-central-bogota/191718302,750000000,13,6,541,bogotá
"Casa en  Venta en Suba, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-suba-bogota/191869316,880000000,3,4,187,bogotá
"Casa en Venta en Los cedros, Bucaramanga",https://www.fincaraiz.com.co/casa-en-venta-en-los-cedros-bucaramanga/192301126,950000000,5,4,225,bucaramanga
"Finca en  Venta en Pitala, El colegio",https://www.fincaraiz.com.co/finca-en-venta-en-pitala-el-colegio/192045527,1200000000,0,0,350,el colegio
"Local en  Venta en Camoa, Villavicencio",https://www.fincaraiz.com.co/local-en-venta-en-camoa-villavicencio/191880711,299000000,0,0,29,villavicencio
"Apartamento en Venta en Laureles Nogal, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-laureles-nogal-medellin/192372067,780000000,3,2,118,medellín
"Apartamento en  Venta en Chapinero Alto, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-alto-bogota/191910794,410000000,1,2,44,bogotá
"Apartamento en Venta en Engativá, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-engativa-bogota/192429327,230000000,3,2,47,bogotá
"Casa en  Venta en Miraflores, Cali",https://www.fincaraiz.com.co/casa-en-venta-en-miraflores-cali/192199415,920000000,4,3,352,cali
"Casa en venta en Tequendama, Cali",https://www.fincaraiz.com.co/casa-en-venta-en-tequendama-cali/7258153,2000000000,20,10,710,cali
"Apartamento en  Venta en Cedritos, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/192151784,395000000,3,2,75,bogotá
"Apartaestudio en Venta en Las nieves, Bogotá",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-las-nieves-bogota/192285691,235000000,1,1,28.3,bogotá
"Lote en Venta en Sonsa, Villapinzon",https://www.fincaraiz.com.co/lote-en-venta-en-sonsa-villapinzon/192446955,160000000,0,0,1,villapinzon
"Casa en venta en Triangulo, Villavicencio",https://www.fincaraiz.com.co/casa-en-venta-en-triangulo-villavicencio/10196773,650000000,5,4,280,villavicencio
"Casa en Venta en Vereda La Balsa, Chía",https://www.fincaraiz.com.co/casa-en-venta-en-vereda-la-balsa-chia/192275637,680000000,4,4,202,chía
"Apartamento en Venta en Chapinero Alto, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-alto-bogota/192348821,690000000,3,3,100,bogotá
"Apartamento en Venta en Monserrate, Santa rosa de cabal",https://www.fincaraiz.com.co/apartamento-en-venta-en-monserrate-santa-rosa-de-cabal/192487489,350000000,3,2,78,no especifica
"Apartamento en  Venta en Altos del prado, Barranquilla",https://www.fincaraiz.com.co/apartamento-en-venta-en-altos-del-prado-barranquilla/191919098,1550000000,3,3,360,barranquilla
"Apartamento en Venta en Belen La Palma, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-belen-la-palma-medellin/192356535,549000000,2,2,74,medellín
"Casa en  Venta en Fusca, Chía",https://www.fincaraiz.com.co/casa-en-venta-en-fusca-chia/192219205,1650000000,4,3,353,chía
"Apartamento en  Venta en Colina Campestre, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-colina-campestre-bogota/192093194,396000000,3,2,72,bogotá
"Apartamento en Venta en Santa teresita, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-santa-teresita-cali/192555546,971000000,3,3,95,cali
"Apartamento en Venta en Mazuren, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-mazuren-bogota/192547662,415000000,3,2,89.7,bogotá
"Edificio en  Venta en La candelaria, Bogotá",https://www.fincaraiz.com.co/edificio-en-venta-en-la-candelaria-bogota/191982525,2200000000,0,10,700,bogotá
"Lote en Venta en Av Paralela, Manizales",https://www.fincaraiz.com.co/lote-en-venta-en-av-paralela-manizales/192349337,1350000000,0,0,654,manizales
Apartamento en venta en Acacías,https://www.fincaraiz.com.co/apartamento-en-venta-en-acacias/10519313,130000000,3,1,74,acacías
"Casa en  Venta en Pance alto, Cali",https://www.fincaraiz.com.co/casa-en-venta-en-pance-alto-cali/191907029,1950000000,4,5,310,cali
"Apartamento en venta en Colina Campestre, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-colina-campestre-bogota/10543534,1990000000,5,5,224,bogotá
"Apartamento en  Venta en Santa teresita, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-santa-teresita-cali/192040715,300000000,2,2,54,cali
"Oficina en  Venta en Hipodromo, Ibagué",https://www.fincaraiz.com.co/oficina-en-venta-en-hipodromo-ibague/191984104,150000000,0,1,48,ibagué
"Apartamento en Venta en Santa teresa, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-santa-teresa-bogota/192476795,295000000,3,2,57,bogotá
"Casa en Venta en El ingenio, Cali",https://www.fincaraiz.com.co/casa-en-venta-en-el-ingenio-cali/192268382,770000000,4,5,320,cali
"Edificio en  Venta en Zona chapinero, Bogotá",https://www.fincaraiz.com.co/edificio-en-venta-en-zona-chapinero-bogota/191529348,70000000000,0,10,17021,bogotá
"Casa en  Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-lagos-de-torca-bogota/192232059,505000000,3,3,95,bogotá
"Casa en  Venta en Pance, Cali",https://www.fincaraiz.com.co/casa-en-venta-en-pance-cali/191943860,1190000000,4,5,250,cali
"Casa en  Venta en San francisco, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-san-francisco-bogota/191871875,980000000,12,8,440,bogotá
"Casa en  Venta en Villa santos, Barranquilla",https://www.fincaraiz.com.co/casa-en-venta-en-villa-santos-barranquilla/191193432,1680000000,5,5,312,barranquilla
"Apartamento en Venta en San antonio, Sabaneta",https://www.fincaraiz.com.co/apartamento-en-venta-en-san-antonio-sabaneta/192365838,640000000,2,2,97,sabaneta
"Casa Campestre en  Venta en Salinas del Rey, Juan de acosta",https://www.fincaraiz.com.co/casa-campestre-en-venta-en-salinas-del-rey-juan-de-acosta/191193175,490000000,4,3,500,no especifica
"Apartamento en  Venta en Usaquen, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-usaquen-bogota/191709501,1100000000,3,3,170,bogotá
"Apartamento en  Venta en Restrepo, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-restrepo-bogota/192075564,220000000,2,1,30,bogotá
Casa en  Venta en La vega,https://www.fincaraiz.com.co/casa-en-venta-en-la-vega/191221522,980000000,5,4,340,la vega
"Apartamento en venta en Paris gaitan, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-paris-gaitan-bogota/10072969,270000000,2,2,62,bogotá
"Casa Campestre en venta en Condina, Pereira",https://www.fincaraiz.com.co/casa-campestre-en-venta-en-condina-pereira/7070220,670000000,3,2,1000,pereira
Lote en venta en Nilo,https://www.fincaraiz.com.co/lote-en-venta-en-nilo/10819198,120000000,0,0,1017,nilo
"Apartamento en venta en La Prosperidad, Madrid",https://www.fincaraiz.com.co/apartamento-en-venta-en-la-prosperidad-madrid/10272722,295000000,3,2,59.5,madrid
Apartamento en  Venta en Cabrera,https://www.fincaraiz.com.co/apartamento-en-venta-en-cabrera/191726714,1580000000,2,3,177,cabrera
"Apartamento en  Venta en Suba la Campiña, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-suba-la-campiña-bogota/192169222,220000000,2,2,44,bogotá
"Casa en venta en Centro historico, Chía",https://www.fincaraiz.com.co/casa-en-venta-en-centro-historico-chia/7922864,670000000,3,4,148,chía
"Apartamento en  Venta en Pance, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-pance-cali/191588564,680000000,3,5,137,cali
"Apartamento en Venta en Santa barbara central, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-santa-barbara-central-bogota/192394587,1580000000,5,6,181,bogotá
"Casa Campestre en Venta en Altos de suba, Bogotá",https://www.fincaraiz.com.co/casa-campestre-en-venta-en-altos-de-suba-bogota/192404538,1500000000,3,4,220,bogotá
Apartamento en Venta en Sabaneta,https://www.fincaraiz.com.co/apartamento-en-venta-en-sabaneta/192339225,449000000,2,2,78,sabaneta
"Casa en Venta en Kennedy, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-kennedy-bogota/192285050,428000000,8,4,120,bogotá
"Apartaestudio en venta en Santa Paula, Bogotá",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-santa-paula-bogota/10113076,470000000,1,1,25,bogotá
"Casa en Venta en Pinares, Pereira",https://www.fincaraiz.com.co/casa-en-venta-en-pinares-pereira/192299634,900000000,4,4,250,pereira
"Apartamento en Venta en San Remo, Sabaneta",https://www.fincaraiz.com.co/apartamento-en-venta-en-san-remo-sabaneta/192471626,430000000,3,2,65,sabaneta
"Local en venta en Caribe, Medellín",https://www.fincaraiz.com.co/local-en-venta-en-caribe-medellin/11061571,2116800000,0,0,78,medellín
"Casa Campestre en Venta en Combia, Pereira",https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/192344061,1950000000,7,5,900,pereira
"Apartamento en  Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/192212026,550000000,2,2,74,medellín
Casa en Venta en Cajicá,https://www.fincaraiz.com.co/casa-en-venta-en-cajica/192349965,1770000000,4,5,304,cajicá
"Apartamento en Venta en El porvenir, Rionegro",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-porvenir-rionegro/192304514,340000000,3,2,90,rionegro
Apartamento en  Venta en Simijaca,https://www.fincaraiz.com.co/apartamento-en-venta-en-simijaca/191960414,199000000,3,2,78,simijaca
"Casa en  Venta en La almeria, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-la-almeria-bogota/191437170,630000000,6,4,199,bogotá
"Casa Campestre en  Venta en Cerritos, Pereira",https://www.fincaraiz.com.co/casa-campestre-en-venta-en-cerritos-pereira/191885021,5990000000,5,6,800,pereira
"Casa en venta en Colseguros andes, Cali",https://www.fincaraiz.com.co/casa-en-venta-en-colseguros-andes-cali/10139396,500000000,5,2,234,cali
"Casa en  Venta en Niza, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-niza-bogota/191809758,1100000000,4,4,352,bogotá
"Apartamento en Venta en La doctora, Sabaneta",https://www.fincaraiz.com.co/apartamento-en-venta-en-la-doctora-sabaneta/192325101,449000000,2,2,61,sabaneta
"Apartamento en  Venta en Sector plaza de bolivar, Pereira",https://www.fincaraiz.com.co/apartamento-en-venta-en-sector-plaza-de-bolivar-pereira/191963510,550000000,3,4,271,pereira
"Edificio en  Venta en Camino La Floresta, Chía",https://www.fincaraiz.com.co/edificio-en-venta-en-camino-la-floresta-chia/191719346,1390000000,0,6,400,chía
"Apartamento en  Venta en Pasadena, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-pasadena-bogota/192040769,610000000,3,3,112,bogotá
"Apartamento en  Venta en Cedritos, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/192031236,465000000,3,3,89,bogotá
"Finca en  Venta en Santander, El playon",https://www.fincaraiz.com.co/finca-en-venta-en-santander-el-playon/191713227,1800000000,3,1,300000,el playon
Finca en Venta en Armenia,https://www.fincaraiz.com.co/finca-en-venta-en-armenia/192470514,850000000,3,4,200,armenia
"Apartamento en Venta en Villas de Granada, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-villas-de-granada-bogota/192400067,345000000,3,2,80,bogotá
"Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-valle-del-lili-cali/192560286,270000000,2,2,71,cali
Apartamento en  Venta en Ricaurte,https://www.fincaraiz.com.co/apartamento-en-venta-en-ricaurte/192090009,265000000,3,2,65,ricaurte
"Casa en venta en Olarte, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-olarte-bogota/10291547,410000000,5,3,183,bogotá
"Apartamento en Venta en Pontevedra, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-pontevedra-bogota/192257135,400000000,3,2,70,bogotá
Finca en Venta en Cabuyaro,https://www.fincaraiz.com.co/finca-en-venta-en-cabuyaro/192447898,1400000000,0,0,35000,cabuyaro
"Apartaestudio en  Venta en Palermo, Manizales",https://www.fincaraiz.com.co/apartaestudio-en-venta-en-palermo-manizales/191690365,265000000,1,1,34,manizales
"Apartamento en Venta en Plaza Imperial Centro Comercial, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-plaza-imperial-centro-comercial-bogota/192254445,179000000,1,1,28,bogotá
"Casa en Venta en Cruz verde, El rosal",https://www.fincaraiz.com.co/casa-en-venta-en-cruz-verde-el-rosal/192305602,830000000,3,4,170,el rosal
Apartamento en  Venta en Rionegro,https://www.fincaraiz.com.co/apartamento-en-venta-en-rionegro/191901011,312000000,3,2,61,rionegro
Casa en Venta en Chía,https://www.fincaraiz.com.co/casa-en-venta-en-chia/192559579,1270000000,3,3,150,chía
"Casa en  Venta en Chipre, Manizales",https://www.fincaraiz.com.co/casa-en-venta-en-chipre-manizales/192208350,722000000,5,3,320,manizales
"Casa en  Venta en La Aldea, La estrella",https://www.fincaraiz.com.co/casa-en-venta-en-la-aldea-la-estrella/191801352,600000000,4,3,160,la estrella
"Apartamento en  Venta en Prados del Este, Cúcuta",https://www.fincaraiz.com.co/apartamento-en-venta-en-prados-del-este-cucuta/192232097,150000000,3,2,49,cúcuta
"Apartamento en venta en Novaterra, Mosquera",https://www.fincaraiz.com.co/apartamento-en-venta-en-novaterra-mosquera/10961800,300000000,3,2,72,mosquera
"Casa en venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-fontibon-bogota/7687186,850000000,6,4,209,bogotá
Casa en  Venta en El roble,https://www.fincaraiz.com.co/casa-en-venta-en-el-roble/191627175,868900000,2,2,112,el roble
Casa Campestre en  Venta en Calarcá,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-calarca/191462873,480000000,4,4,205,calarcá
"Apartamento en Venta en Santa maria no. 3, Itaguí",https://www.fincaraiz.com.co/apartamento-en-venta-en-santa-maria-no-3-itagui/192460002,480000000,3,2,100,itaguí
"Apartamento en  Venta en Cañaveral, Floridablanca",https://www.fincaraiz.com.co/apartamento-en-venta-en-cañaveral-floridablanca/192147022,800000000,4,4,171,floridablanca
"Casa en Venta en Colina Campestre, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-colina-campestre-bogota/192352865,600000000,3,3,113,bogotá
"Apartamento en Venta en Chico norte, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-chico-norte-bogota/192453420,550000000,1,2,59,bogotá
"Apartamento en  Venta en Milla de Oro, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-milla-de-oro-medellin/191354111,1000000000,3,3,112,medellín
"Apartamento en Venta en Milan, Manizales",https://www.fincaraiz.com.co/apartamento-en-venta-en-milan-manizales/192264911,455000000,3,2,88,manizales
"Apartamento en Venta en Usaquen, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-usaquen-bogota/192269444,486000000,3,2,84,bogotá
"Apartamento en  Venta en Portales del Monte, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-portales-del-monte-bogota/191612197,440000000,3,2,84,bogotá
"Apartamento en Venta en Teusaquillo, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-teusaquillo-bogota/192388211,670000000,3,2,116,bogotá
"Casa en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/casa-en-venta-en-el-poblado-medellin/192367000,1850000000,4,6,440,medellín
"Apartamento en  Venta en San francisco, Madrid",https://www.fincaraiz.com.co/apartamento-en-venta-en-san-francisco-madrid/192178226,175000000,3,2,57,madrid
"Lote en Venta en Otra banda, Sopetran",https://www.fincaraiz.com.co/lote-en-venta-en-otra-banda-sopetran/192353927,195300000,0,0,217,sopetran
"Apartamento en  Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-valle-del-lili-cali/191747487,260000000,2,2,58,cali
"Casa en Venta en La doctora, Sabaneta",https://www.fincaraiz.com.co/casa-en-venta-en-la-doctora-sabaneta/192438075,1250000000,5,5,282,sabaneta
"Casa en  Venta en Las Palmas, Envigado",https://www.fincaraiz.com.co/casa-en-venta-en-las-palmas-envigado/191422866,5500000000,4,4,2000,envigado
"Apartamento en Venta en Chapinero, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-chapinero-bogota/192455854,3900000000,4,5,396,bogotá
"Apartamento en  Venta en Altos del prado, Barranquilla",https://www.fincaraiz.com.co/apartamento-en-venta-en-altos-del-prado-barranquilla/192220256,1200000000,3,4,200,barranquilla
"Apartamento en Venta en El redil, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-redil-bogota/192384456,445900000,2,2,67,bogotá
"Apartamento en Venta en Las aguas, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-las-aguas-bogota/192324956,550000000,2,1,55.3,bogotá
"Apartamento en  Venta en Santa Barbara, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-santa-barbara-bogota/192134683,680000000,3,3,115,bogotá
"Apartamento en Venta en La Calleja, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-la-calleja-bogota/192309310,1400000000,4,6,215,bogotá
"Apartamento en Venta en Loma del Escobero, Envigado",https://www.fincaraiz.com.co/apartamento-en-venta-en-loma-del-escobero-envigado/192378614,820000000,0,2,86,envigado
"Apartamento en  Venta en San patricio, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-san-patricio-bogota/191721219,950000000,3,3,133,bogotá
"Casa en  Venta en Alcala, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-alcala-bogota/191804244,650000000,10,5,140,bogotá
"Apartamento en  Venta en Cedritos, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-cedritos-bogota/192239134,475000000,2,2,70,bogotá
"Casa en  Venta en Villas de Granada, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-villas-de-granada-bogota/192114703,340000000,4,2,144,bogotá
"Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/192523093,670000000,3,2,82,medellín
"Apartamento en  Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/192203935,1185000000,3,3,182,medellín
"Apartamento en Venta en Santa Barbara, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-santa-barbara-bogota/192512189,1500000000,3,4,162,bogotá
"Apartamento en  Venta en San diego, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-san-diego-medellin/191431526,580000000,3,2,70,medellín
"Apartamento en  Venta en Boston, Barranquilla",https://www.fincaraiz.com.co/apartamento-en-venta-en-boston-barranquilla/191730170,270000000,3,3,90,barranquilla
"Apartamento en  Venta en Chico norte, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-chico-norte-bogota/191713226,595000000,1,2,72,bogotá
Apartamento en Venta en Chía,https://www.fincaraiz.com.co/apartamento-en-venta-en-chia/192427233,570000000,3,2,110,chía
"Apartamento en Venta en Manzanillo, Cartagena",https://www.fincaraiz.com.co/apartamento-en-venta-en-manzanillo-cartagena/192455589,1290000000,1,2,124,cartagena
"Apartamento en Venta en Prado veraniego, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-prado-veraniego-bogota/192528174,345000000,2,2,46,bogotá
Apartamento en Venta en Mosquera,https://www.fincaraiz.com.co/apartamento-en-venta-en-mosquera/192326099,200000000,3,1,52,mosquera
"Casa Campestre en Venta en Combia, Pereira",https://www.fincaraiz.com.co/casa-campestre-en-venta-en-combia-pereira/192479557,1400000000,4,5,328,pereira
"Apartamento en  Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-valle-del-lili-cali/191933501,365000000,3,3,91,cali
"Apartamento en Venta en Verbenal san antonio, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-verbenal-san-antonio-bogota/192285670,255700000,3,2,52,bogotá
"Apartamento en  Venta en Aguacatal, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-aguacatal-cali/191490846,160000000,2,2,53.15,cali
"Casa en Venta en Llano Grande, Rionegro",https://www.fincaraiz.com.co/casa-en-venta-en-llano-grande-rionegro/192437888,4990000000,5,5,400,rionegro
"Apartamento en  Venta en Melendez, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-melendez-cali/191928823,220000000,3,2,66.11,cali
"Apartamento en  Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/191712764,1450000000,3,4,154,medellín
"Casa en Venta en Cartagena de indias, Cartagena",https://www.fincaraiz.com.co/casa-en-venta-en-cartagena-de-indias-cartagena/192278777,480000000,3,2,88,cartagena
"Apartamento en venta en Ciudad jardin, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-ciudad-jardin-cali/10196415,800000000,3,4,127,cali
"Casa en  Venta en Palermo, Bogotá",https://www.fincaraiz.com.co/casa-en-venta-en-palermo-bogota/191575057,3345900000,20,10,1115,bogotá
Apartamento en Venta en Tunja,https://www.fincaraiz.com.co/apartamento-en-venta-en-tunja/192451216,235000000,3,2,62,tunja
"Casa en  Venta en Urbanizacion club house i, Floridablanca",https://www.fincaraiz.com.co/casa-en-venta-en-urbanizacion-club-house-i-floridablanca/191201296,1400000000,5,4,307,floridablanca
"Apartamento en  Venta en La carolina, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-la-carolina-bogota/192034498,1090000000,2,3,117.82,bogotá
"Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/apartamento-en-venta-en-valle-del-lili-cali/192486905,430000000,4,2,110,cali
"Casa en venta en Puerta grande, Mosquera",https://www.fincaraiz.com.co/casa-en-venta-en-puerta-grande-mosquera/10174366,1600000000,4,3,350,mosquera
