,titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades,region
71,"KOBE 50, Apartamento en Venta en Palermo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/kobe-50-apartamentos-en-venta-en-teusaquillo-bogota/15017423,203994450,1,1,20.61,bogotá,Orinoquía
72,"GIRASOLES DEL CASTILLO, Casa en Venta en Ciudad Campestre, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/girasoles-del-castillo-casas-en-venta-en-el-castillo-cali/5814689,402800000,2,2,84.62,cali,Amazonía
73,"AMBARÍ, Apartamento en Venta en La castellana, Montería",https://www.fincaraiz.com.co/proyectos-vivienda/ambari-apartamentos-en-venta-en-la-castellana-monteria/15017058,207546300,2,2,51.06,montería,Caribe
74,"ZENTO 75 LOFT, Apartamento en Venta en Pance, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/zento-75-loft-apartamentos-en-venta-en-pance-cali/5790637,611100000,1,2,65,cali,Amazonía
75,"BOSSCATTA 147 APARTMENTOS, Apartamento en Venta en Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/bosscatta-147-apartmentos-apartamentos-en-venta-en-bogota/10728765,331568000,1,1,36,bogotá,Orinoquía
76,"EDEN DEL PARQUE, Apartamento en Venta en Paso de la bolsa, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/eden-del-parque-apartamentos-en-venta-en-paso-de-la-bolsa-jamundi/4945541,134500000,2,1,47.02,jamundí,desconocido
77,"QANVAS, Apartamento en Venta en Las villas, Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/qanvas-apartamentos-en-venta-en-las-villas-zipaquira/10092791,313329000,3,2,72.89,zipaquirá,desconocido
78,"PARQUES DE MONTANA, Casa en Venta en La Morada, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/parques-de-montana-casas-en-venta-en-la-morada-jamundi/15016964,165000000,0,0,150,jamundí,desconocido
79,"PRADERA HACIENDA CAMPESTRE, Apartamento en Venta en La pradera, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/pradera-hacienda-campestre-apartamentos-en-venta-en-la-pradera-dosquebradas/2728601,949900000,2,3,140,dosquebradas,desconocido
80,"CRISTALES WEST ETAPA 2, Apartamento en Venta en Bellavista, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/cristales-west-etapa-2-apartamentos-en-venta-en-altos-de-santa-isabel-cali/3242869,643749509,2,2,72.25,cali,Amazonía
81,"TIERRALINDA DE LOS FARALLONES, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-de-los-farallones-apartamentos-en-venta-en-tierralinda-cali/10051563,215900000,2,2,55,cali,Amazonía
82,"RESERVA DE LA 26, Apartamento en Venta en Las americas, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-la-26-apartamentos-en-venta-en-las-americas-bogota/10097276,291999000,1,1,27,bogotá,Orinoquía
83,"Solé, Apartamento en Venta en Parque Natura, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/sole-apartamentos-en-venta-en-parque-natura-jamundi/15017465,396790000,3,2,90.73,jamundí,desconocido
84,"MAKARÍ CAMPESTRE, Lote en Venta en El estanquillo bajo, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/makari-campestre-lotes-en-venta-en-dosquebradas/7435635,269364831,0,0,198.08,dosquebradas,desconocido
